LATITUDE,LONGITUDE,GRAINSIZE
48.39606,-124.74506,-0.35880032
48.39627,-124.73156,-1.00204980
48.39647,-124.71805,-0.93363118
48.39667,-124.70455,-1.46281278
48.39687,-124.69105,-1.49870813
48.39707,-124.67754,-1.32405293
48.39726,-124.66404,-1.08343983
48.39746,-124.65053,-0.47938111
48.39765,-124.63703,0.07916291
48.39784,-124.62353,0.78669381
48.39803,-124.61002,0.96253335
48.39822,-124.59652,0.85024375
48.39841,-124.58301,0.75247115
48.39859,-124.56951,1.05474389
48.39878,-124.55600,1.18381870
48.39896,-124.54250,1.50147521
48.39914,-124.52899,1.81499779
48.39932,-124.51549,2.11477208
48.39949,-124.50198,2.47111177
48.39967,-124.48847,2.78754807
48.39984,-124.47497,3.07258773
48.40002,-124.46146,3.25428057
48.40019,-124.44796,3.54218078
48.40036,-124.43445,3.53976560
48.40052,-124.42094,3.44813275
48.40069,-124.40744,3.64519835
48.40085,-124.39393,3.59473014
48.40102,-124.38042,3.57845902
48.40118,-124.36692,3.47672606
48.40134,-124.35341,3.46853971
48.40150,-124.33990,3.51687789
48.40165,-124.32640,3.67282510
48.40181,-124.31289,3.65727758
48.40196,-124.29938,3.55931807
48.40211,-124.28587,3.48004508
48.40226,-124.27237,3.35406828
48.40241,-124.25886,3.47208643
48.40256,-124.24535,3.48055577
48.40270,-124.23184,3.43601036
48.37707,-125.31163,2.64978385
48.37734,-125.29814,2.61779690
48.37761,-125.28465,2.57688642
48.37788,-125.27115,3.31776857
48.37815,-125.25766,3.06412196
48.37841,-125.24417,4.54763222
48.37867,-125.23067,5.73412561
48.37893,-125.21718,6.40496063
48.37919,-125.20368,6.64794540
48.37945,-125.19019,6.28325748
48.37971,-125.17669,5.92498779
48.37996,-125.16320,0.81118655
48.38022,-125.14970,2.61959243
48.38047,-125.13620,1.74512053
48.38072,-125.12271,1.87276876
48.38097,-125.10921,1.69077754
48.38121,-125.09572,1.84252203
48.38146,-125.08222,1.45117509
48.38170,-125.06872,1.30693603
48.38194,-125.05523,2.05129051
48.38218,-125.04173,2.27634025
48.38242,-125.02823,2.80203342
48.38266,-125.01473,3.55490398
48.38289,-125.00124,4.34156466
48.38313,-124.98774,3.15811729
48.38336,-124.97424,3.21269417
48.38359,-124.96074,3.00416064
48.38382,-124.94725,2.92316222
48.38405,-124.93375,2.64078355
48.38428,-124.92025,2.70308399
48.38450,-124.90675,3.36139202
48.38472,-124.89325,3.28050637
48.38494,-124.87975,3.57734680
48.38516,-124.86625,3.88973689
48.38538,-124.85275,4.02874947
48.38560,-124.83925,3.92056227
48.38581,-124.82575,3.42452455
48.38603,-124.81225,3.09319115
48.38624,-124.79875,2.84875846
48.38645,-124.78525,1.99926841
48.38666,-124.77175,1.00052953
48.38687,-124.75825,0.38261405
48.38707,-124.74475,-0.23222737
48.38728,-124.73125,-0.44388500
48.38768,-124.70425,-0.88700151
48.38866,-124.63674,0.63433915
48.38885,-124.62324,1.19372261
48.38904,-124.60974,1.24501348
48.38923,-124.59624,0.90791935
48.38942,-124.58273,0.87091959
48.38960,-124.56923,0.92959863
48.38978,-124.55573,1.04426849
48.38997,-124.54223,1.31980455
48.39015,-124.52872,1.55249739
48.39032,-124.51522,2.28592253
48.39050,-124.50172,2.50592899
48.39068,-124.48821,2.95173693
48.39085,-124.47471,3.09392262
48.39102,-124.46121,3.30122519
48.39119,-124.44770,3.86893702
48.39136,-124.43420,3.80299997
48.39153,-124.42069,3.65130782
48.39170,-124.40719,3.79606748
48.39186,-124.39369,3.76257229
48.39202,-124.38018,3.78485608
48.39219,-124.36668,3.67247534
48.39234,-124.35317,3.25503039
48.39250,-124.33967,3.58875751
48.39266,-124.32616,3.65647244
48.39281,-124.31266,3.65581822
48.39297,-124.29915,3.56697774
48.39312,-124.28565,3.51042962
48.39327,-124.27214,3.45125246
48.39342,-124.25864,3.47754860
48.39356,-124.24513,3.37794542
48.39371,-124.23163,3.41986346
48.39385,-124.21812,3.41349745
48.39400,-124.20462,3.40433383
48.39414,-124.19111,3.42811728
48.36781,-125.32472,1.80542290
48.36809,-125.31123,2.14593410
48.36836,-125.29774,2.35024285
48.36862,-125.28424,2.33012295
48.36889,-125.27075,3.28627086
48.36916,-125.25726,3.60283303
48.36942,-125.24377,4.72663116
48.36968,-125.23028,5.89382410
48.36994,-125.21679,6.46588039
48.37020,-125.20329,6.73330593
